iso3code,country-english,country-french,country-spanish,women,men,gap
TZA,"Tanzania, United Republic of","Tanzanie, République-Unie de","Tanzanía, República Unida de",3.4,2,1.4
UGA,Uganda,Ouganda,Uganda,3.7,2.2,1.5
UKR,Ukraine,Ukraine,Ucrania,8.7,9.1,-0.4
URY,Uruguay,Uruguay,Uruguay,12.6,8.5,4.1
USA,United States,Etats-Unis,Estados Unidos,5.3,5.6,-0.3
UZB,Uzbekistan,Ouzbékistan,Uzbekistán,7,7.2,-0.2
VCT,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,21,22.1,-1.1
VEN,"Venezuela, Bolivarian Republic of","Venezuela, République bolivarienne du","Venezuela, República Bolivariana de",7.6,5.8,1.8
VNM,Viet Nam,Viet Nam,Viet Nam,2.1,2.2,-0.1
VUT,Vanuatu,Vanuatu,Vanuatu,2,2.3,-0.3
WSM,Samoa,Samoa,Samoa,11.6,8.9,2.7
YEM,Yemen,Yémen,Yemen,26.3,12.4,13.9
ZAF,South Africa,Afrique du Sud,Sudáfrica,35.7,31.8,3.9
ZMB,Zambia,Zambie,Zambia,13.8,12.3,1.5
ZWE,Zimbabwe,Zimbabwe,Zimbabwe,5.7,4.6,1.1
